Fabricante;Descrição;Preço revenda;revenda c/ IPI
ODM-DE0062D;ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL CMOS DRAKE AB;280,00;283,64
ODM-DE0062C;ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL CMOS DRAKE PTO;280,00;283,64
ODM-DE0062G;ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL INSTRAMED;280,00;283,64
ODM-DE0062B;ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATIVEL MINDRAY;280,00;283,64
ODM-DE0062H;ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL PHILIPS;280,00;283,64
ECG90A;ELETROCARDIOGRAFO PORTATIL MODELO ECG90A;2.849,99;2.887,04
ECG300G;ELETROCARDIOGRAFO TRES CANAIS MODELO ECG300G;4.850,90;4.913,97
1RW01-0011;MALETA PARA TRANSPORTE / CAIXA EM POLIPROPILENO PARA RESSUSCITADOR CARDIO PULMONAR;40,05;42,65
ME6141;MASCARA EM SILICONE # 0 NEONATAL/INFANTIL PARA RESSUSCITADOR CARDIO PULMONAR;9,51;10,00
ME6143;MASCARA EM SILICONE # 2 PEDIATRICO PARA RESSUSCITADOR CARDIO PULMONAR;15,94;16,77
ME6144;MASCARA EM SILICONE # 4 ADULTO PARA RESSUSCITADOR CARDIO PULMONAR;15,94;16,77
ME6145;MASCARA EM SILICONE # 5 ADULTO GRANDE PARA RESSUSCITADOR CARDIO PULMONAR;42,56;44,78
AM-802;OXIMETRO DE DEDO AM-802;116,69;118,21
G1B;OXÍMETRO DE PULSO G1B - GMI;1.180,00;1.195,34
IRT101;TERMOMETRO DIGITAL INFRAVERMELHO;45,45;49,88
GB-04005;DISTRIBUIDOR TORNEIRA 03 VIAS LUER LOCK;3,71;3,91
GB-04006;DISTRIBUIDOR TORNEIRA ALTO FLUXO;5,71;6,00
GB-04008;DISTRIBUIDOR TORNEIRA ALTO FLUXO VALVULADA;19,21;20,21
GB-08120V;EXTENSOR 08FR X 120CM - C/TORNEIRA VALVULADA;25,68;27,02
GB-12020B;EXTENSOR 12FR X 020CM - C/ TORNEIRA BI-VALVULADA;25,68;27,02
GB-12060B;EXTENSOR 12FR X 060CM - C/ TORNEIRA VALVULADA;25,68;27,02
GB-12060T;EXTENSOR 12FR X 060CM - C/TORNEIRA;11,41;12,01
GB-12120B;EXTENSOR 12FR X 120CM - C/ TORNEIRA BI-VALVULADA;25,68;27,02
GB-12120T;EXTENSOR 12FR X 120CM - C/TORNEIRA;11,41;12,01
GB-08120;EXTENSOR 08FR X 120CM;9,99;10,51
GB-04138;EXTENSOR 08FR X 120CM - C/3 TORNEIRAS VALVULADAS E SUPORTE;64,21;67,54
GB-04158;EXTENSOR 08FR X 120CM - C/5 TORNEIRAS VALVULADAS E SUPORTE;87,99;92,56
GB-04028;EXTENSOR 12FR X 020CM - C/2 TORNEIRAS VALVULADAS;39,95;42,03
GB-04038;EXTENSOR 12FR X 020CM - C/3 TORNEIRAS VALVULADAS;54,69;57,54
CV-50610;EXTENSOR VALVULADO 06 FR X 1 VIA;14,74;15,51
CV-50620;EXTENSOR VALVULADO 06 FR X 2 VIAS;17,84;18,76
CV-51220;EXTENSOR VALVULADO 12 FR X 2 VIAS;17,84;18,77
2.2.31.00031;FONTE DE ALIMENTACAO ELETROCARDIOGRAFO ECG90A;265,22;268,66
1.2.11.00041;MODULO DE IMPRESSORA ELETROCARDIOGRAFO ECG90A;204,84;207,51
2.1.03.00429;PLACA INTERNA ELETROCARDIOGRAFO ECG90A;940,16;952,38
IRJOY;ADAPTADOR INFRAVERMELHO USB IRDA 4 MBPS;337,41;388,02
11141-000116;ADAPTADOR PARA CARREGADOR DE BATERIA LIFEPAK 12;1.469,42;1.488,52
11103-000006;ADAPTADOR PARA ELETRODO PHILIPS;653,60;662,10
11103-000005;ADAPTADOR PARA ELETRODO ZOLL;653,60;662,10
21330-001176;BATERIA DE LI-ION 5.7 AH RECARREGÁVEL LIFEPAK 15;2.699,61;3.003,32
11141-000112;BATERIA DE LI-ION INTERNA RECARREGAVEL LIFEPAK 20E;3.401,20;3.732,82
11141-000100;BATERIA NAO RECARREGAVEL LIMNO2 LIFEPAK 1000;5.953,99;6.534,50
11425-000001;BOLSA DE TRANSPORTE ACESSORIOS LIFEPAK 1000;567,66;604,55
PHY08;BOLSA DE TRANSPORTE ACESSORIOS LIFEPAK 20;95,51;101,72
11260-000032;BOLSA DE TRANSPORTE LIFEPAK 12;2.703,12;2.878,82
11260-000018;BOLSA DE TRANSPORTE LIFEPAK 20;1.387,60;1.477,80
11210-000001;BOLSA DE TRANSPORTE LIFEPAK 500;1.450,67;1.544,97
21300-004576;BOLSA DE TRANSPORTE LIFEPAK CR PLUS;648,75;690,92
11260-000014;BOLSA DE TRANSPORTE LIFEPAK CR PLUS TREINAMENTO;342,40;364,65
21300-008049;BOTAO DE CHOQUE PARA PAS RIGIDAS LIFEPAK 20;31,35;32,98
805400-00;CABO ECG 03 VIAS LIFEPAK 10 E LIFEPAK 9;358,00;376,62
11111-000016;CABO ECG 03 VIAS LIFEPAK 1000;1.134,93;1.193,95
11110-000029;CABO ECG 03 VIAS LIFEPAK 12 LIFEPAK 20 LIFEPAK 15;793,48;834,74
11111-000020;CABO ECG 04 VIAS LIFEPAK 15 AHA;2.705,87;2.846,57
11111-000019;CABO ECG 04 VIAS LIFEPAK 15 IEC;1.800,04;1.893,64
11110-000103;CABO ECG 06 VIAS PRECORDIAIS LIFEPAK 12;1.108,35;1.165,98
11110-000050;CABO SERIAL TRANSFERENCIA DE DADOS LIFEPAK 500;487,00;512,33
11113-000004;CABO TERAPIA QUIK COMBO LIFEPAK 15;4.537,28;4.773,21
11110-000040;CABO TERAPIA QUIK COMBO LIFEPAKS 12 E 20;2.776,14;2.920,50
11403;- 000001 CARREGADOR DE BATERIA CHARGE PAK COM 02 ELETRODOS ADULTO QUIK PAK;3.607,80;3.788,19
11101-000004;ELETRODO ADULTO LIFEPAK 500 TREINAMENTO KIT;719,06;756,45
11250-000015;ELETRODO ADULTO LIFEPAK CR PLUS TREINAMENTO;293,88;309,16
11250-000012;ELETRODO ADULTO LIFEPAK CR PLUS TREINAMENTO KIT;892,06;938,45
11996-000091;ELETRODO ADULTO QUIK COMBO;585,90;616,37
11996-000017;ELETRODO ADULTO QUIK COMBO REDI PAK;619,50;651,71
11101-000016;ELETRODO INFANTIL PEDIATRICO COM REDUTOR DE ENERGIA PARA DEA;2.478,96;2.607,87
11996-000093;ELETRODO PEDIATRICO QUIK COMBO RTS;590,00;620,68
11576-000071;FONTE DE ALIMENTAÇÃO PARA LUCAS 3;4.167,24;4.375,60
40402-000041;IMPRESSORA TERMICA DE 50 MM PARA LIFEPAK 20;4.387,29;4.615,43
11260-000023;MALETA DE TRANSPORTE LIFEPAK 1000;2.739,16;2.917,21
11130-000013;PAS RIGIDAS DESFIBRILACAO EXTERNA ADULTO LIFEPAK 9;1.500,00;1.578,00
21330-001007;PORTA MODO DEA PARA LIFEPAK 20;493,82;519,50
11576-000046;VENTOSAS DESCARTAVEIS PARA LUCAS 3;119,75;121,31
Y000P10;BOLSA PRESSORICA 1000 ML;199,70;202,30
Y000P30;BOLSA PRESSORICA 3000 ML;234,73;237,78
Y000P05;BOLSA PRESSORICA 500 ML;122,69;124,29
Y000R10;BOLSA PRESSORICA COM MANOMETRO REUTILIZAVEL 1000 ML;256,29;259,62
Y000R05;BOLSA PRESSORICA COM MANOMETRO REUTILIZAVEL 500 ML;208,68;211,39
X0016B;CABO DE PI COMPATIVEL GABMED PARA MINDRAY 12 PINOS;253,00;256,29
X0015B;CABO DE PI COMPATIVEL GABMED PARA SPACELABS/MINDRAY/ DIXTAL/INSTRA/OMNI;253,00;256,29
TP-HD00920-03;CABO DE PI GABMED PARA ARROW / KONTRON;825,92;825,92
TP-HD00920-09;CABO DE PI GABMED PARA DATASCOPE;701,16;701,16
TP-HD00920-11;CABO DE PI GABMED PARA DIXTAL/MINDRAY/DRAGER/PROLIFE/INSTRA;653,89;653,89
TP-HD00920-14;CABO DE PI GABMED PARA GE MARQUETE;685,40;685,40
TP-HD00920-34;CABO DE PI GABMED PARA NIHON COMEN;921,74;921,74
TP-HD00920-15;CABO DE PI GABMED PARA NIHON KOHDEN REDONDO;751,68;751,68
TP-HD00920-19;CABO DE PI GABMED PARA PHILIPS/HP/MINDRAY;685,40;685,40
TP-HD00920-20;CABO DE PI GABMED PARA SIEMENS/DRAGER;638,13;638,13
TP-HD00920-24;CABO DE PI GABMED PARA TEB/POLIGRAFO;705,28;705,28
HD-003520;KIT PARA ANGIOGRAFIA MANIFOLD ON COM TRANSDUTOR HD-03520;207,13;217,90
TP-00922;PLATE PARA TRANSDUTOR GABMED;21,29;21,29
TP-00910;SUPORTE PARA TRANSDUTOR DE PRESSAO GABMED;114,78;114,78
TP-00971;TRANSDUTOR DE PRESSAO INVASIVA C/TORNEIRA VALVULADA GABMED TP-00971;132,70;132,70
HD-00970;TRANSDUTOR DE PRESSAO INVASIVA GABMED HD00970;106,70;112,25
Y000S1;BRAÇADEIRA / MANGUITO ADULTO PEQUENO REUTILIZAVEL 01 TUBO SOFT CONFORT (20,5-28 CM);28,87;29,25
OEM-Y1976L;BRAÇADEIRA / MANGUITO ADULTO PEQUENO REUTILIZAVEL 02 TUBOS SOFT CONFORT (20.5-28 CM);35,77;36,23
OEM-Y1976B;BRAÇADEIRA / MANGUITO ADULTO REUTILIZAVEL 01 TUBO SOFT CONFORT (27-35 CM);47,83;48,45
OEM-Y1976H;BRAÇADEIRA / MANGUITO ADULTO REUTILIZAVEL 02 TUBOS SOFT CONFORT (27-35 CM);58,79;59,55
OEM-Y1976F;BRAÇADEIRA / MANGUITO INFANTIL REUTILIZAVEL 01 TUBO SOFT CONFORT (10-15 CM);34,79;35,24
OEM-Y1976N;BRAÇADEIRA / MANGUITO INFANTIL REUTILIZAVEL 02 TUBOS SOFT CONFORT (10-15 CM);35,07;35,52
OEM-Y1977A;BRAÇADEIRA / MANGUITO NEONATAL 1 01 TUBO (3-6 CM);25,97;26,31
OEM-Y3810A;BRAÇADEIRA / MANGUITO NEONATAL 1 01 TUBO (3-6 CM) HYLINK;13,79;13,97
OEM-Y1978A;BRAÇADEIRA / MANGUITO NEONATAL 1 02 TUBOS (3-6 CM);26,09;26,43
OEM-Y1977B;BRAÇADEIRA / MANGUITO NEONATAL 2 01 TUBO (4-8 CM);22,25;22,54
OEM-Y3810B;BRAÇADEIRA / MANGUITO NEONATAL 2 01 TUBO (4-8 CM) HYLINK;13,79;13,97
OEM-Y1978B;BRAÇADEIRA / MANGUITO NEONATAL 2 02 TUBOS (4-8 CM);22,25;22,54
OEM-Y1977C;BRAÇADEIRA / MANGUITO NEONATAL 3 01 TUBO (6-11 CM);22,25;22,54
OEM-Y3810C;BRAÇADEIRA / MANGUITO NEONATAL 3 01 TUBO (7-11 CM) HYLINK;13,79;13,97
OEM-Y1978C;BRAÇADEIRA / MANGUITO NEONATAL 3 02 TUBOS (6-11 CM);22,25;22,54
OEM-Y1977D;BRAÇADEIRA / MANGUITO NEONATAL 4 01 TUBO (7-14 CM);26,09;26,43
OEM-Y3810D;BRAÇADEIRA / MANGUITO NEONATAL 4 01 TUBO (7-14 CM) HYLINK;13,79;13,97
OEM-Y1978D;BRAÇADEIRA / MANGUITO NEONATAL 4 02 TUBOS (7-14 CM);23,65;23,96
OEM-Y1977E;BRAÇADEIRA / MANGUITO NEONATAL 5 01 TUBO (8-15 CM);26,01;26,35
OEM-Y3810E;BRAÇADEIRA / MANGUITO NEONATAL 5 01 TUBO (8-15 CM) HYLINK;13,79;13,97
OEM-Y1978E;BRAÇADEIRA / MANGUITO NEONATAL 5 02 TUBOS (8-15 CM);27,86;28,22
OEM-Y1951A;BRAÇADEIRA / MANGUITO NEONATAL REUTILIZAVEL 01 TUBO SOFT CONFORT (7-11 CM);36,85;37,33
OEM-Y1951B;BRAÇADEIRA / MANGUITO NEONATAL REUTILIZAVEL 02 TUBOS SOFT CONFORT (7-11 CM);37,89;38,39
OEM-Y1976A;BRAÇADEIRA / MANGUITO OBESO I REUTILIZAVEL 01 TUBO SOFT CONFORT (34-43 CM);99,42;100,71
OEM-Y1976K;BRAÇADEIRA / MANGUITO OBESO I REUTILIZAVEL 02 TUBOS SOFT CONFORT (34-43 CM);105,21;106,57
OEM-Y1976C;BRAÇADEIRA / MANGUITO OBESO II REUTILIZAVEL 01 TUBO SOFT CONFORT (42-54 CM);104,50;105,86
OEM-Y1976J;BRAÇADEIRA / MANGUITO OBESO II REUTILIZAVEL 02 TUBOS SOFT CONFORT (42-54 CM);93,65;94,87
PNI11;BRAÇADEIRA / MANGUITO OBESO II REUTILIZAVEL SOFT CONFORT (42-54 CM) SEM BEXIGA;26,48;26,82
OEM-Y1976E;BRAÇADEIRA / MANGUITO PEDIATRICO REUTILIZAVEL 01 TUBO SOFT CONFORT (14-21 CM);42,38;42,93
OEM-Y1976M;BRAÇADEIRA / MANGUITO PEDIATRICO REUTILIZAVEL 02 TUBOS SOFT CONFORT (14-21 CM);37,50;37,99
PNI06;BRAÇADEIRA ADULTO REUTILIZAVEL SOFT CONFORT SEM BEXIGA;12,62;12,78
SL0008B;MANGUEIRA EXTENSORA PNI DUPLA 2,5 M;67,90;68,78
YA14A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL 5P;149,19;151,13
YA06A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL MINDRAY;144,90;146,78
YA80A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL PHILIPS;119,54;121,09
YA25A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL PHILIPS MINDRAY PROLIFE;164,69;166,83
YA29A06-08;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL SIEMENS DRAGER;211,01;213,76
11996-000033;MANGUEIRA EXTENSORA PNI 01 TUBO LIFEPAK 12;786,67;827,58
YA03A106-10;MANGUEIRA EXTENSORA PNI 01 TUBO NEONATAL COMPATÍVEL MINDRAY;154,45;156,46
YA23A12-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE - A23/A12;128,89;130,56
YA24A109-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE - A24/A109;125,79;127,43
YA40A12-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE - A40/A12;154,06;156,06
YA22A12-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE DATEX;122,54;124,13
YA28A11-08;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL NIHON KOHDEN;228,75;231,73
YA54A11-10;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL NIHON KOHDEN;143,53;145,39
YA23A16-08;MANGUEIRA EXTENSORA PNI 02 TUBOS NEONATAL COMPATÍVEL GE;226,01;228,95
YA22A16-08;MANGUEIRA EXTENSORA PNI 02 TUBOS NEONATAL COMPATÍVEL GE DIXTAL;132,82;134,55
SL0008A;MANGUEIRA EXTENSORA PNI SIMPLES 2,5 M;61,24;62,04
11171-000016;CABO EXTENSOR DE OXIMETRIA MASIMO LNC LNCS-10;1.264,52;1.330,28
3201655-018;CABO EXTENSOR DE OXIMETRIA MASIMO LNCS LNC-4;1.037,82;1.091,78
1005;CABO EXTENSOR DE OXIMETRIA MASIMO PC SERIES;620,42;628,49
11171-000037;CABO EXTENSOR DE OXIMETRIA MASIMO RAINBOW RC-4;1.341,94;1.411,72
S0111BC-L;CABO EXTENSOR OXIMETRIA COMPATIVEL BCI REDEL;74,82;75,80
S0568OX-L;CABO EXTENSOR OXIMETRIA COMPATIVEL COMEN OXIMAX;133,49;135,22
SPO204;CABO EXTENSOR OXIMETRIA COMPATIVEL DIXTAL 6 PINOS;92,22;93,42
